task,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,log_loss,roc_auc
binary_baseline,LogisticRegression,0.7414448669201521,0.7408115942028985,0.7408603074888411,0.7434640522875817,0.7412676382142032,0.5411211343647969,0.7993291695581771
binary_baseline,RandomForest,0.7224334600760456,0.7218544005795002,0.7219026555375456,0.7239801864801865,0.7222704140643073,0.5256411278962362,0.8143650242886884
binary_baseline,GradientBoosting,0.752851711026616,0.7523361101050344,0.7523790768484996,0.7546328671328671,0.7526891047883414,0.5335562025604779,0.8086976636594957
binary_baseline,XGBoost,0.714828897338403,0.714828897338403,0.714828897338403,0.7148392320148045,0.7148392320148045,0.5588707634943698,0.7992135091371732
binary_baseline,SVM,0.7224334600760456,0.7222889213544906,0.7223130111414164,0.7227435986560073,0.7223571593800602,0.5574352985807157,0.7929389312977099
binary_baseline,MLP,0.7034220532319392,0.7029023288147376,0.7029495764890286,0.7045745547666162,0.7032731899144113,0.5471356179065718,0.784293314827666
binary_baseline,Stacking,0.7376425855513308,0.7372627372627373,0.7373007220915967,0.7387513079874433,0.7375086745315753,0.533130252471434,0.8125722877631275
binary_fs_filter,LogisticRegression,0.7338403041825095,0.7331884057971014,0.7332385518267482,0.7357901493930905,0.7336629655331945,0.5434059251167552,0.7952810548230397
binary_fs_filter,RandomForest,0.7110266159695817,0.7108217592592593,0.7108510245035911,0.7114492753623188,0.7109356928059218,0.5586038700718495,0.7899895905621097
binary_fs_filter,GradientBoosting,0.714828897338403,0.7145647927067507,0.7145978057857071,0.7154212114179623,0.7147235715938006,0.5339855660171178,0.8003122831367107
binary_fs_filter,XGBoost,0.7186311787072244,0.7186271108026834,0.7186230428981424,0.7186813186813187,0.7186560259079343,0.5769525523266236,0.791232940087902
binary_fs_filter,SVM,0.7110266159695817,0.710989010989011,0.7110015459825346,0.7110667592271203,0.7109935230164237,0.5610253138884793,0.7881390238260467
binary_fs_filter,MLP,0.7224334600760456,0.7214023478879166,0.7214667923996747,0.7253401360544218,0.7222125838538052,0.5574811783484475,0.7835415220911404
binary_fs_filter,Stacking,0.7300380228136882,0.7299755614362355,0.7299911767805989,0.7301504629629629,0.7299907471663196,0.5313667921093378,0.8152903076567198
binary_fs_wrapper,LogisticRegression,0.7224334600760456,0.722031591596809,0.7220717784447327,0.7234623880944077,0.7222993291695582,0.5691563532362625,0.7677538746241036
binary_fs_wrapper,RandomForest,0.6692015209125475,0.6682614936279414,0.6683286384339847,0.6708065458796025,0.6690087901919963,1.0942038983530387,0.7275618783252372
binary_fs_wrapper,GradientBoosting,0.714828897338403,0.7144160187638449,0.7144573066213007,0.7158179281478898,0.7146946564885497,0.5811688031467331,0.7676382142030996
binary_fs_wrapper,XGBoost,0.714828897338403,0.7144160187638449,0.7144573066213007,0.7158179281478898,0.7146946564885497,0.5905222187883696,0.7681876012028683
binary_fs_wrapper,SVM,0.7376425855513308,0.7376425855513308,0.7376425855513308,0.7376532500578302,0.7376532500578302,0.5662925435312222,0.7835126069858895
binary_fs_wrapper,MLP,0.7110266159695817,0.7108217592592593,0.7108510245035911,0.7114492753623188,0.7109356928059218,0.5583859750508579,0.7793777469349988
binary_fs_wrapper,Stacking,0.7376425855513308,0.7375059667597239,0.7375287365583252,0.7379793766655081,0.7375665047420772,0.5542133454326915,0.7899028452463567
binary_fs_embedded,LogisticRegression,0.688212927756654,0.6865771421927682,0.6866632361698148,0.691740412979351,0.6879481841313903,0.5783993610356069,0.7564191533657182
binary_fs_embedded,RandomForest,0.6844106463878327,0.6843923949974697,0.6843832693022883,0.6845134791160477,0.6844494563960213,0.5915218444839601,0.7682165163081194
binary_fs_embedded,GradientBoosting,0.6920152091254753,0.6913726910539659,0.6914262342265918,0.6933275058275059,0.691851723340273,0.5564980434052027,0.779262086513995
binary_fs_embedded,XGBoost,0.6730038022813688,0.6727719907407408,0.6728051066751162,0.6733333333333333,0.672912329400879,0.6404894624922884,0.7450266018968309
binary_fs_embedded,SVM,0.6730038022813688,0.6729990747166319,0.6729943471518951,0.673048004626952,0.6730279898218829,0.6040409231476827,0.7481494332639371
binary_fs_embedded,MLP,0.6844106463878327,0.6835138387484958,0.6835778964370198,0.686177673874927,0.6842181355540133,0.5665232026252038,0.7685634975711312
binary_fs_embedded,Stacking,0.6958174904942965,0.6958130927596577,0.6958174904942965,0.6958130927596577,0.6958130927596577,0.564879730089488,0.7813439740920657
