,count,mean,std,min,25%,50%,75%,max
Runtime (mins),1312.0,109.6577743902439,21.342532473283605,75.0,94.0,105.5,119.0,242.0
Year,1312.0,2007.75,11.3736215751428,1922.0,2003.0,2010.0,2016.0,2026.0
Action,1312.0,0.3254573170731707,0.4687241276743066,0.0,0.0,0.0,1.0,1.0
Adventure,1312.0,0.27134146341463417,0.44482140934576153,0.0,0.0,0.0,1.0,1.0
Animation,1312.0,0.0663109756097561,0.2489197793235463,0.0,0.0,0.0,0.0,1.0
Biography,1312.0,0.02972560975609756,0.1698940784109594,0.0,0.0,0.0,0.0,1.0
Comedy,1312.0,0.3018292682926829,0.45922663221733917,0.0,0.0,0.0,1.0,1.0
Crime,1312.0,0.17835365853658536,0.3829561477011693,0.0,0.0,0.0,0.0,1.0
Drama,1312.0,0.31402439024390244,0.46430311716248257,0.0,0.0,0.0,1.0,1.0
Family,1312.0,0.09603658536585366,0.29475375990961705,0.0,0.0,0.0,0.0,1.0
Fantasy,1312.0,0.18140243902439024,0.3854982011513403,0.0,0.0,0.0,0.0,1.0
History,1312.0,0.01600609756097561,0.12554646971291417,0.0,0.0,0.0,0.0,1.0
Horror,1312.0,0.37271341463414637,0.48371113373898367,0.0,0.0,0.0,1.0,1.0
Music,1312.0,0.012195121951219513,0.10979794926795364,0.0,0.0,0.0,0.0,1.0
Musical,1312.0,0.022865853658536585,0.14953276936967794,0.0,0.0,0.0,0.0,1.0
Mystery,1312.0,0.22484756097560976,0.4176410905098103,0.0,0.0,0.0,0.0,1.0
Romance,1312.0,0.09984756097560976,0.29991095743431057,0.0,0.0,0.0,0.0,1.0
Sci-Fi,1312.0,0.20807926829268292,0.40608863374418,0.0,0.0,0.0,0.0,1.0
Sport,1312.0,0.012195121951219513,0.10979794926795364,0.0,0.0,0.0,0.0,1.0
Thriller,1312.0,0.4611280487804878,0.49867676199909144,0.0,0.0,0.0,1.0,1.0
War,1312.0,0.019054878048780487,0.13677005275041762,0.0,0.0,0.0,0.0,1.0
Western,1312.0,0.011432926829268292,0.10635241453520614,0.0,0.0,0.0,0.0,1.0
Your Rating,1312.0,5.384908536585366,1.4469044758327654,1.0,5.0,5.0,6.0,10.0
