feature,abs_correlation,mutual_info,filter_selected,rfe_ranking,wrapper_selected,tree_importance,embedded_selected,methods_selected
Runtime (mins),0.2786266305657992,0.05095716207747669,True,1,True,0.15999379601522096,True,3
Action,0.07896189943089209,0.0014028845831068892,True,1,True,0.049541254716788746,True,3
Biography,0.1657601583094253,0.003642769120963507,True,1,True,0.07537493890798316,True,3
History,0.11641470746124333,0.00995263471347907,True,1,True,0.030739802914599518,True,3
Horror,0.3142177581077388,0.07398944109054728,True,1,True,0.08704101672193748,True,3
Drama,0.30345134248221267,0.08258004498289884,True,1,True,0.06681411565423714,True,3
Sci-Fi,0.13697525502454702,0.0,True,1,True,0.05268894316366914,True,3
Fantasy,0.047714419473113494,0.0026860289882575383,True,1,True,0.03133625114351384,True,3
Year,0.007376528437204237,0.01253060093188707,True,8,False,0.13331538639358137,True,2
Animation,0.1133079806359966,0.0,True,1,True,0.02783307211895395,False,2
Romance,0.08040413755183391,0.017260445507951472,True,9,False,0.033878523549958545,True,2
Crime,0.17089662007013612,0.018408993179392708,True,6,False,0.0343110921624649,True,2
Adventure,0.008067510769307933,0.0,False,1,True,0.02931151498653962,False,1
Comedy,0.0886952343692654,0.015225819848437405,True,3,False,0.029381341181950467,False,1
Music,0.04995537242622593,0.009899774357388758,True,12,False,0.004998573084436572,False,1
Family,0.10512667581558573,0.0009656771207067205,True,10,False,0.019527077194425677,False,1
Mystery,0.009573429792171451,0.0,False,2,False,0.03730232799908813,True,1
Sport,0.02595734311881748,0.01150719708787018,True,5,False,0.026184037268397978,False,1
War,0.12382749251523698,0.0,True,4,False,0.017121695963674657,False,1
Thriller,0.09258595544412816,0.003104266473309192,True,13,False,0.029098607523875088,False,1
Western,0.0604247518930448,0.005977064367570728,True,11,False,0.0012619136058760832,False,1
Musical,0.01967190294042808,0.0,False,7,False,0.02294470445748034,False,0
