feature,abs_correlation,mutual_info,filter_selected,rfe_ranking,wrapper_selected,tree_importance,embedded_selected,methods_selected
Runtime (mins),0.32097396128135625,0.07813846405318792,True,1,True,0.15161649598788338,True,3
Year,0.025242023589057964,0.0,True,1,True,0.12393940544118463,True,3
Action,0.07721374731002441,0.0,True,1,True,0.03313788402774747,True,3
Adventure,0.060597377622376984,0.0,True,1,True,0.026702354259554466,True,3
Drama,0.3674636582735381,0.06850786309150037,True,1,True,0.11688573456726847,True,3
Comedy,0.10271180132063291,0.05207180223479746,True,1,True,0.026100679962363055,True,3
Sci-Fi,0.13412419423542993,0.030427422288112904,True,1,True,0.050689631127098726,True,3
Fantasy,0.08579883343681363,0.0,True,1,True,0.04005799206176984,True,3
Horror,0.379220478281612,0.06935264427816934,True,1,True,0.18564688621965797,True,3
Animation,0.10699696441640241,0.0015057529493032185,True,5,False,0.044689284267417174,True,2
Musical,0.003472635208095148,0.003887195175918734,True,7,False,0.04700830495567595,True,2
Family,0.0622853037426208,0.0,True,3,False,0.025430403842050364,True,2
Thriller,0.11690512689523204,0.009346810973807518,True,1,True,0.023733051503345044,False,2
Biography,0.19054546719362106,0.038358385755851376,True,8,False,0.007014018420091425,False,1
Western,0.05214579075774802,0.021260064951746482,True,12,False,0.001510869980669352,False,1
History,0.1286409105755463,0.011699453499811163,True,13,False,0.0023530863755271154,False,1
Crime,0.1993293809754197,0.0,True,4,False,0.024338391735905282,False,1
Romance,0.1129043371631216,0.06061644265118593,True,6,False,0.017513539351785165,False,1
War,0.12718855588189057,0.0,True,10,False,0.012969306017449346,False,1
Music,0.03971517275868481,0.0,False,11,False,0.005832397907387525,False,0
Mystery,0.014887714056760478,0.0,False,2,False,0.02290384614454318,False,0
Sport,0.02448824830683493,0.0,False,9,False,0.00992646803246155,False,0
