experiment,model,eval_type,cv_mean_absolute_error_mean,cv_mean_absolute_error_std,cv_root_mean_squared_error_mean,cv_root_mean_squared_error_std,cv_r2_mean,cv_r2_std
baseline,RandomForest,cv,0.9363247026651544,0.024951658035647847,1.2054177588494461,0.03979046483231567,0.3033389644311796,0.051079250220106336
baseline,GradientBoosting,cv,0.9205521210344413,0.022968951215819045,1.1927403817460729,0.021855242568551637,0.3184245379944154,0.03300141651780364
baseline,SVR,cv,0.9008503944744805,0.021598002411695492,1.182098811882979,0.03586511029762393,0.3307425223896051,0.036429146893706216
baseline,XGBoost,cv,1.0005831956863402,0.04245836321901386,1.2871841430664062,0.06573671748329724,0.20506205558776855,0.07954524335597976
baseline,MLP,cv,0.9572474013951711,0.025735678752874695,1.228965500965263,0.03276351786300754,0.27695074544056625,0.02904006561347034
fs_filter,RandomForest,cv,0.9644854861050642,0.035971614230487066,1.238030500119439,0.0511661476648873,0.265106232712494,0.06034878437200989
fs_filter,GradientBoosting,cv,0.943778617888926,0.02174814461552491,1.2144488471233639,0.03174151003003738,0.293374272332987,0.039394856042255545
fs_filter,SVR,cv,0.9020628495071084,0.01770721262668234,1.1770449226815043,0.029180889104506745,0.3362915928956295,0.03521427016869922
fs_filter,XGBoost,cv,0.9952958941459655,0.033716317085810334,1.2813754081726074,0.0560138999802575,0.21251869201660156,0.06945302192257151
fs_filter,MLP,cv,0.9625156659551541,0.04397943368254745,1.2327966788246942,0.05469687783335873,0.2706486800949703,0.06818996719464106
fs_wrapper,RandomForest,cv,0.9815029386825117,0.04384242055837615,1.2708837140772398,0.062244687063196934,0.2250489257246649,0.07590117521630005
fs_wrapper,GradientBoosting,cv,0.9606247468031605,0.021715230439342814,1.2468165730345007,0.043500423060926344,0.25470362208888864,0.0554048846910671
fs_wrapper,SVR,cv,0.9230717126141782,0.02097891766183081,1.201814578505734,0.03556563656177122,0.3073735734779395,0.05067064720891103
fs_wrapper,XGBoost,cv,1.0304340362548827,0.041946883645850634,1.3433187484741211,0.061734520183550114,0.13373589515686035,0.08696697257762852
fs_wrapper,MLP,cv,0.9437394954397516,0.035771498339043147,1.2156365440580814,0.04535401393880608,0.290955314134275,0.059368792552282945
fs_embedded,RandomForest,cv,0.9673853128301312,0.04185762843275422,1.243546338871623,0.05576862793055728,0.25803975708386934,0.06907501661326676
fs_embedded,GradientBoosting,cv,0.9454850811016273,0.010352276815775625,1.221493795471773,0.03174156262810674,0.28498532045366376,0.04308109600981188
fs_embedded,SVR,cv,0.9081615904299468,0.020303680317083416,1.1771124498700616,0.038033595694420476,0.3356181131841656,0.04941574592772257
fs_embedded,XGBoost,cv,1.0009243130683898,0.04739258593987595,1.2894520521163941,0.07077016492415945,0.20222229957580568,0.08341530090134953
fs_embedded,MLP,cv,0.9210043290709523,0.030831248063980774,1.1830196696000694,0.04426060184108157,0.3290433251125158,0.05148752842943955
