experiment,model,MAE,RMSE,R2
baseline,RandomForest,0.9835887927864859,1.2750382608258806,0.23980473352799136
baseline,GradientBoosting,0.9500902275070212,1.2285710848236278,0.29420381545724605
baseline,SVR,0.9371348280545797,1.2406997631222103,0.28019953069815273
baseline,XGBoost,1.0834205150604248,1.3965898380604165,0.08795452117919922
baseline,MLP,0.9710380173247171,1.2658328081411634,0.25074194237853986
fs_filter,RandomForest,1.027758675840425,1.319763240953438,0.18553808211814515
fs_filter,GradientBoosting,0.9727433900956762,1.2678175325615872,0.24839054722035836
fs_filter,SVR,0.9343748673724042,1.224440764179528,0.2989414563743318
fs_filter,XGBoost,1.0592349767684937,1.3767329479607184,0.11370527744293213
fs_filter,MLP,0.9915179313047321,1.2802831855567198,0.2335376782285179
fs_wrapper,RandomForest,1.0594527053533709,1.3815835444730815,0.10744902119341238
fs_wrapper,GradientBoosting,1.0026235048232581,1.321095530812431,0.18389286725026044
fs_wrapper,SVR,0.9575122724914785,1.2468654876594016,0.2730275794891799
fs_wrapper,XGBoost,1.1086323261260986,1.4303640630427759,0.04330849647521973
fs_wrapper,MLP,0.9651965683634578,1.2729255211891304,0.24232193488615417
fs_embedded,RandomForest,1.0330254390729678,1.3262304998749554,0.1775362803547913
fs_embedded,GradientBoosting,0.9622980880143651,1.2657512907084711,0.2508384411045058
fs_embedded,SVR,0.9462193737902458,1.2299016149707145,0.29267424729204417
fs_embedded,XGBoost,1.0844374895095825,1.4099936774632893,0.07036370038986206
fs_embedded,MLP,0.9850189204324767,1.2690870462182657,0.24688456364185363
